,stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
203793,982542904,2015-12-23 15:09:50,Nike Aims for $50 Billion in Revenue by 2020,https://www.thestreet.com/story/13406023/1/nike-aims-for-50-billion-in-revenue-by-2020.html,en,False,,21619,The Street,http://www.thestreet.com
204821,853161991,2015-02-24 20:12:37,Facebook (FB) Stock Falls Today Despite 2 Million Active Advertiser Announcement,https://www.thestreet.com/story/13056913/1/facebook-fb-stock-falls-today-despite-two-million-active-advertiser-announcement.html,en,False,,21619,The Street,http://www.thestreet.com
207809,500837160,2015-04-12 08:00:00,The Hillary Clinton stock portfolio: 15 investments bullish on President Clinton,https://www.thestreet.com/story/13640589/1/the-hillary-clinton-stock-portfolio-15-investments-bullish-on-president-clinton.html,en,False,,21619,The Street,http://www.thestreet.com
209047,1037032467,2015-12-12 17:15:00,"Could Bitcoin Hit $1,000,000 in the Long Run?",https://www.thestreet.com/story/13390174/1/could-bitcoin-hit-1-000-000-in-the-long-run.html,en,False,,21619,The Street,http://www.thestreet.com
209194,1053175250,2015-07-01 20:02:00,CyrusOne Announces Closing Of Cervalis Acquisition,https://www.thestreet.com/story/13206085/1/cyrusone-announces-closing-of-cervalis-acquisition.html,en,False,,21619,The Street,http://www.thestreet.com
209373,1070108663,2015-07-14 14:36:53,50 Cent Offers His Two Cents on Investing and Lingerie,https://www.thestreet.com/story/13217102/1/50-cent-offers-his-two-cents-on-investing-and-lingerie.html,en,False,,21619,The Street,http://www.thestreet.com
209464,1072760961,2015-03-31 12:30:00,Here's How You Get Affordable Life Insurance With a Pre-Existing Condition,https://www.thestreet.com/story/13089680/1/heres-how-you-get-affordable-life-insurance-with-a-pre-existing-condition.html,en,False,"finances, medicine and health, insurance, health insurance and managed care",21619,The Street,http://www.thestreet.com
209653,1079549800,2015-02-03 16:57:12,iPad Sales Falter as 'Phablets' Eat Away at Tablet Market,https://www.thestreet.com/story/13032644/1/ipad-sales-falter-as-phablets-eat-away-at-tablet-market.html,en,False,,21619,The Street,http://www.thestreet.com
209702,1081639717,2015-06-02 17:24:54,Could Boston Market Be Preparing to Go Public Yet Again?,https://www.thestreet.com/story/13171798/1/could-boston-market-be-preparing-to-go-public-yet-again.html,en,False,,21619,The Street,http://www.thestreet.com
209901,1105640422,2015-08-10 14:59:34,Inovio (INO) Stock Soars on AstraZeneca Deal,https://www.thestreet.com/story/13250138/1/inovio-ino-stock-soars-on-astrazeneca-deal.html,en,False,,21619,The Street,http://www.thestreet.com
209911,1105931749,2015-06-12 13:29:56,Twitter's Best End Game Is Still an Acquisition by Google,https://www.thestreet.com/story/13184766/1/twitters-best-end-game-is-still-an-acquisition-by-google.html,en,False,"computers and the internet, finances, mergers, acquisitions and divestitures",21619,The Street,http://www.thestreet.com
209917,1106106569,2015-05-19 19:12:57,Google Is Now Displaying Tweets in Search Results,https://www.thestreet.com/story/13157174/1/google-is-now-displaying-tweets-in-search-results.html,en,False,computers and the internet,21619,The Street,http://www.thestreet.com
210675,1224558548,2015-09-29 12:59:10,Will Your State See a 40% Rise in Obamacare Premiums in '16?,https://www.thestreet.com/story/13304862/1/will-your-state-see-a-40-rise-in-obamacare-premiums-in-16.html,en,False,,21619,The Street,http://www.thestreet.com
224377,1333030099,2015-03-03 20:54:26,IBM Has Three Big Ways to Make Money Off Watson Computing,https://www.thestreet.com/story/13066021/1/ibm-has-three-big-ways-to-make-money-off-watson-computing.html,en,False,,21619,The Street,http://www.thestreet.com
224451,1340305703,2015-05-20 12:30:00,Half of Savers Now Think Retirement Funds Are for Emergencies (and Are Wrong),https://www.thestreet.com/story/13155590/1/half-of-savers-now-think-retirement-funds-are-for-emergencies-and-are-wrong.html,en,False,"finances, labor, credit, retirement, aged, pensions and retirement plans, personal finances",21619,The Street,http://www.thestreet.com
224452,1340306256,2015-06-12 11:43:05,How You Can Lose Your Social Security Benefits,https://www.thestreet.com/story/13184637/1/how-you-can-lose-your-social-security-benefits.html,en,False,"education and schools, finances, medicine and health, labor, credit, social security (us)",21619,The Street,http://www.thestreet.com
224456,1340333396,2015-06-10 13:37:14,Retiring with Debt: How to Tackle the New Normal,https://www.thestreet.com/story/13180847/1/retiring-with-debt-how-to-tackle-the-new-normal.html,en,False,"finances, labor, wages and salaries, credit, retirement, pensions and retirement plans, personal finances",21619,The Street,http://www.thestreet.com
224463,1340357700,2015-05-18 14:29:09,'What I Wish I Had Known About Money in My 20s': 6 True Stories,https://www.thestreet.com/story/13149203/1/what-i-wish-i-had-known-about-money-in-my-20s-6-true-stories.html,en,False,"education and schools, finances, colleges and universities, credit, housing, personal finances",21619,The Street,http://www.thestreet.com
224464,1340374492,2015-10-15 19:20:07,Your Social Security Will Be Seized If You Owe Student Loans,https://www.thestreet.com/story/13326222/1/your-social-security-will-be-seized-if-you-owe-student-loans.html,en,False,"education and schools, finances, colleges and universities, social security (us)",21619,The Street,http://www.thestreet.com
224471,1340433792,2015-04-20 19:28:40,Student Loan Debt is Being Increasingly Defined by Older and Low Income Borrowers,https://www.thestreet.com/story/13118434/1/student-loan-debt-is-being-increasingly-defined-by-older-and-low-income-borrowers.html,en,False,"education and schools, finances, labor, colleges and universities, economic conditions and trends, united states economy, credit, interest rates",21619,The Street,http://www.thestreet.com
224473,1340457166,2015-07-29 20:34:20,Borrowers Seek Free Student Loan Counseling to Pay Down Debt,https://www.thestreet.com/story/13233280/1/borrowers-seek-free-student-loan-counseling-to-pay-down-debt.html,en,False,"education and schools, finances, labor, colleges and universities, credit",21619,The Street,http://www.thestreet.com
224474,1340461629,2015-09-04 10:53:00,5 Money-Saving Questions to Ask Your College Financial Aid Officer,https://www.thestreet.com/story/13277920/1/5-money-saving-questions-to-ask-your-college-financial-aid-officer.html,en,False,"education and schools, finances, budgets and budgeting, colleges and universities, tuition",21619,The Street,http://www.thestreet.com
224475,1340462622,2015-07-06 20:02:26,Are Student Loans to Blame for High Tuition Costs?,https://www.thestreet.com/story/13208357/1/are-student-loans-to-blame-for-high-tuition-costs.html,en,False,"education and schools, finances, colleges and universities, tuition, prices (fares, fees and rates), credit",21619,The Street,http://www.thestreet.com
224476,1340463146,2015-05-18 13:29:51,"Student Loan Servicers Should Show a Good Faith Effort Toward Better Outcomes, Says CFPB",https://www.thestreet.com/story/13154042/1/student-loan-servicers-should-show-a-good-faith-effort-toward-better-outcomes-says-cfpb.html,en,False,"education and schools, finances",21619,The Street,http://www.thestreet.com
